SalePrice,Id
112308.1474988462,1461
150016.21000319277,1462
157824.89849411926,1463
167104.31146049796,1464
157132.14654356457,1465
155553.91073013685,1466
144970.7841480917,1467
143806.26268159715,1468
170953.32219010903,1469
103628.66935023693,1470
170297.59738020468,1471
77995.71846304659,1472
78567.6823543814,1473
117530.52680669559,1474
95390.98262891806,1475
345403.9551748157,1476
243948.06562969077,1477
253166.37037640437,1478
261552.25716937325,1479
403513.57511998195,1480
276411.9711823408,1481
181494.31122531524,1482
164679.4894290992,1483
143701.86490268772,1484
144956.21406481933,1485
180348.28672800414,1486
296308.09401466424,1487
224850.0728563128,1488
203377.48554011027,1489
190210.71083406187,1490
176791.64908018854,1491
99643.5642084066,1492
161442.2041309986,1493
272205.4662342278,1494
237526.81163775126,1495
196340.47534348152,1496
160283.00289308606,1497
132816.2384252841,1498
132191.84890521364,1499
125507.66306075719,1500
136212.05247733422,1501
119291.2908816626,1502
271887.74498537235,1503
203118.14875599087,1504
203537.58596073717,1505
170760.04961813986,1506
208479.1275594351,1507
170112.2334768665,1508
140931.89904896799,1509
129253.5460306495,1510
137284.1088896428,1511
162931.78725096674,1512
143346.551081848,1513
162742.41215502858,1514
183219.04586225562,1515
131912.27220838328,1516
123674.73003986542,1517
131001.24679123516,1518
193881.19510182535,1519
117930.66595303618,1520
125597.14321541504,1521
154977.9189041367,1522
100680.85187063931,1523
109365.3161353737,1524
117168.1684923567,1525
112056.03790082283,1526
96675.1093398361,1527
108612.35926859309,1528
130896.76657132065,1529
163979.90698710363,1530
108762.46736663129,1531
90877.09753538488,1532
132959.74421915857,1533
103592.27231139952,1534
126227.3622262185,1535
100049.51800529672,1536
82799.71453040659,1537
154471.9126300342,1538
187337.72720027363,1539
87513.8390979091,1540
129257.70026441214,1541
114588.32197572436,1542
172512.14949376805,1543
68298.5678091214,1544
86416.68546236161,1545
105568.83006019144,1546
115115.26594492624,1547
106883.65268383002,1548
97102.57631079455,1549
123865.00369471888,1550
103103.39052441398,1551
138933.8476107015,1552
139788.8087867941,1553
103650.32816347781,1554
155513.96005919337,1555
86029.20384684943,1556
110111.61576444436,1557
85281.49094387465,1558
87588.4555019258,1559
125647.38361409972,1560
114722.51377880499,1561
114533.3925548156,1562
105281.70364171996,1563
124142.19852979513,1564
128779.95463991501,1565
207442.75084238235,1566
77794.94026058364,1567
187326.0793051927,1568
124517.99177673072,1569
118144.73978202342,1570
115429.26385393765,1571
128336.48841671174,1572
241134.87707920698,1573
119988.15249902211,1574
187249.09982365556,1575
204549.51210452916,1576
179314.27027086404,1577
118433.88265756323,1578
127902.96756582237,1579
165061.03229801162,1580
126997.08342495926,1581
116530.33061424865,1582
276849.8994976556,1583
217931.48094837912,1584
114584.78150287329,1585
73687.03660655225,1586
98964.29939462242,1587
135009.61961201392,1588
101820.03782118364,1589
116885.91986670808,1590
92907.3593360586,1591
106294.66121831971,1592
118196.06186306397,1593
122056.49453732444,1594
124408.91761580268,1595
194577.66616386134,1596
161874.28702649404,1597
165335.33722803547,1598
155014.66561887157,1599
159845.38589427585,1600
63909.04580049468,1601
101534.97783682666,1602
75606.35457648375,1603
218971.75102434616,1604
213459.1229950903,1605
131962.1372036821,1606
164746.8624059199,1607
186044.1446779129,1608
183312.0110394438,1609
132861.20101957474,1610
119490.75222690936,1611
173781.54537463866,1612
171091.60181822692,1613
108342.67419775897,1614
67521.19117618016,1615
61002.21571385006,1616
75470.2784130698,1617
109682.19531353854,1618
132633.5011346111,1619
164204.82129871543,1620
123475.22146433359,1621
125738.68885794045,1622
245044.04392447506,1623
